"Temperature"   "Ice Cream"
8	            20
11	            21
11	            20
14	            23
14	            27
16	            27
16	            33
17	            27
17	            31
19	            33
19	            35
19	            36
20	            38
20	            41
21	            40
22	            40
22	            36
22	            41
23	            44
23	            38
24	            46
26	            47
26	            54
26	            47
27	            49
28	            49
30	            50
31	            51
33	            47
35	            48
